Location,Week,Predicted_Visitors
Mt. Baw Baw,1,1061
Mt. Baw Baw,2,671
Mt. Baw Baw,3,1291
Mt. Baw Baw,4,4495
Mt. Baw Baw,5,9298
Mt. Baw Baw,6,8823
Mt. Baw Baw,7,7729
Mt. Baw Baw,8,7179
Mt. Baw Baw,9,7764
Mt. Baw Baw,10,6609
Mt. Baw Baw,11,5627
Mt. Baw Baw,12,3942
Mt. Baw Baw,13,1752
Mt. Baw Baw,14,378
Mt. Baw Baw,15,-143
Mt. Stirling,1,-25
Mt. Stirling,2,-50
Mt. Stirling,3,27
Mt. Stirling,4,112
Mt. Stirling,5,352
Mt. Stirling,6,264
Mt. Stirling,7,1036
Mt. Stirling,8,1189
Mt. Stirling,9,1584
Mt. Stirling,10,1405
Mt. Stirling,11,1267
Mt. Stirling,12,722
Mt. Stirling,13,332
Mt. Stirling,14,68
Mt. Stirling,15,-28
Mt. Hotham,1,-3014
Mt. Hotham,2,-2544
Mt. Hotham,3,151
Mt. Hotham,4,7961
Mt. Hotham,5,21290
Mt. Hotham,6,25812
Mt. Hotham,7,25224
Mt. Hotham,8,17932
Mt. Hotham,9,21346
Mt. Hotham,10,21682
Mt. Hotham,11,22824
Mt. Hotham,12,18656
Mt. Hotham,13,13411
Mt. Hotham,14,4547
Mt. Hotham,15,-276
Falls Creek,1,3079
Falls Creek,2,2066
Falls Creek,3,5026
Falls Creek,4,16400
Falls Creek,5,32870
Falls Creek,6,39168
Falls Creek,7,35546
Falls Creek,8,35222
Falls Creek,9,40325
Falls Creek,10,36186
Falls Creek,11,36483
Falls Creek,12,37659
Falls Creek,13,25626
Falls Creek,14,18476
Falls Creek,15,12996
Mt. Buller,1,1803
Mt. Buller,2,1352
Mt. Buller,3,5705
Mt. Buller,4,20007
Mt. Buller,5,43378
Mt. Buller,6,45139
Mt. Buller,7,36582
Mt. Buller,8,38273
Mt. Buller,9,38648
Mt. Buller,10,39413
Mt. Buller,11,35557
Mt. Buller,12,30726
Mt. Buller,13,14734
Mt. Buller,14,2676
Mt. Buller,15,-355
Selwyn,1,162
Selwyn,2,22
Selwyn,3,736
Selwyn,4,3146
Selwyn,5,7348
Selwyn,6,7939
Selwyn,7,6897
Selwyn,8,6569
Selwyn,9,7092
Selwyn,10,6872
Selwyn,11,6516
Selwyn,12,5747
Selwyn,13,3467
Selwyn,14,1632
Selwyn,15,675
Thredbo,1,876
Thredbo,2,-36
Thredbo,3,3797
Thredbo,4,16985
Thredbo,5,39279
Thredbo,6,43277
Thredbo,7,37400
Thredbo,8,35325
Thredbo,9,38598
Thredbo,10,37179
Thredbo,11,35463
Thredbo,12,31459
Thredbo,13,18756
Thredbo,14,8666
Thredbo,15,3599
Perisher,1,1159
Perisher,2,16
Perisher,3,5108
Perisher,4,22460
Perisher,5,51806
Perisher,6,57213
Perisher,7,49132
Perisher,8,46729
Perisher,9,51306
Perisher,10,49131
Perisher,11,46585
Perisher,12,41372
Perisher,13,24717
Perisher,14,11453
Perisher,15,4716
Charlotte Pass,1,65
Charlotte Pass,2,2
Charlotte Pass,3,289
Charlotte Pass,4,1232
Charlotte Pass,5,2827
Charlotte Pass,6,3168
Charlotte Pass,7,2675
Charlotte Pass,8,2562
Charlotte Pass,9,2837
Charlotte Pass,10,2727
Charlotte Pass,11,2547
Charlotte Pass,12,2279
Charlotte Pass,13,1362
Charlotte Pass,14,627
Charlotte Pass,15,258
