Year,Week,resort,visitors
2014,1,Charlotte Pass,408.0
2014,1,Falls Creek,2790.0
2014,1,Mt. Baw Baw,555.0
2014,1,Mt. Buller,8296.0
2014,1,Mt. Hotham,3483.0
2014,1,Mt. Stirling,60.0
2014,1,Perisher,7370.0
2014,1,Selwyn,1041.0
2014,1,Thredbo,5535.0
2014,2,Charlotte Pass,151.0
2014,2,Falls Creek,1425.0
2014,2,Mt. Baw Baw,804.0
2014,2,Mt. Buller,1987.0
2014,2,Mt. Hotham,1253.0
2014,2,Mt. Stirling,42.0
2014,2,Perisher,2751.0
2014,2,Selwyn,383.0
2014,2,Thredbo,2090.0
2014,3,Charlotte Pass,230.0
2014,3,Falls Creek,2101.0
2014,3,Mt. Baw Baw,993.0
2014,3,Mt. Buller,2413.0
2014,3,Mt. Hotham,2992.0
2014,3,Mt. Stirling,30.0
2014,3,Perisher,4255.0
2014,3,Selwyn,597.0
2014,3,Thredbo,3216.0
2014,4,Charlotte Pass,1134.0
2014,4,Falls Creek,9544.0
2014,4,Mt. Baw Baw,2976.0
2014,4,Mt. Buller,18831.0
2014,4,Mt. Hotham,9680.0
2014,4,Mt. Stirling,165.0
2014,4,Perisher,20265.0
2014,4,Selwyn,2877.0
2014,4,Thredbo,15497.0
2014,5,Charlotte Pass,3403.0
2014,5,Falls Creek,26211.0
2014,5,Mt. Baw Baw,11112.0
2014,5,Mt. Buller,49217.0
2014,5,Mt. Hotham,29628.0
2014,5,Mt. Stirling,645.0
2014,5,Perisher,61339.0
2014,5,Selwyn,8588.0
2014,5,Thredbo,46546.0
2014,6,Charlotte Pass,4305.0
2014,6,Falls Creek,33392.0
2014,6,Mt. Baw Baw,13381.0
2014,6,Mt. Buller,59693.0
2014,6,Mt. Hotham,36665.0
2014,6,Mt. Stirling,1316.0
2014,6,Perisher,76855.0
2014,6,Selwyn,10682.0
2014,6,Thredbo,58668.0
2014,7,Charlotte Pass,3236.0
2014,7,Falls Creek,28149.0
2014,7,Mt. Baw Baw,8832.0
2014,7,Mt. Buller,45788.0
2014,7,Mt. Hotham,26465.0
2014,7,Mt. Stirling,684.0
2014,7,Perisher,57593.0
2014,7,Selwyn,8180.0
2014,7,Thredbo,44109.0
2014,8,Charlotte Pass,2901.0
2014,8,Falls Creek,24565.0
2014,8,Mt. Baw Baw,9347.0
2014,8,Mt. Buller,41720.0
2014,8,Mt. Hotham,21679.0
2014,8,Mt. Stirling,1250.0
2014,8,Perisher,52426.0
2014,8,Selwyn,7267.0
2014,8,Thredbo,39654.0
2014,9,Charlotte Pass,3391.0
2014,9,Falls Creek,28981.0
2014,9,Mt. Baw Baw,10071.0
2014,9,Mt. Buller,48984.0
2014,9,Mt. Hotham,31019.0
2014,9,Mt. Stirling,1280.0
2014,9,Perisher,62654.0
2014,9,Selwyn,8708.0
2014,9,Thredbo,46875.0
2014,10,Charlotte Pass,3549.0
2014,10,Falls Creek,33125.0
2014,10,Mt. Baw Baw,11071.0
2014,10,Mt. Buller,47315.0
2014,10,Mt. Hotham,30360.0
2014,10,Mt. Stirling,1653.0
2014,10,Perisher,64928.0
2014,10,Selwyn,9133.0
2014,10,Thredbo,48777.0
2014,11,Charlotte Pass,3608.0
2014,11,Falls Creek,36486.0
2014,11,Mt. Baw Baw,10079.0
2014,11,Mt. Buller,43314.0
2014,11,Mt. Hotham,35923.0
2014,11,Mt. Stirling,902.0
2014,11,Perisher,64834.0
2014,11,Selwyn,8968.0
2014,11,Thredbo,49003.0
2014,12,Charlotte Pass,3258.0
2014,12,Falls Creek,34468.0
2014,12,Mt. Baw Baw,7635.0
2014,12,Mt. Buller,41063.0
2014,12,Mt. Hotham,32657.0
2014,12,Mt. Stirling,847.0
2014,12,Perisher,59121.0
2014,12,Selwyn,8404.0
2014,12,Thredbo,44164.0
2014,13,Charlotte Pass,2837.0
2014,13,Falls Creek,30104.0
2014,13,Mt. Baw Baw,4681.0
2014,13,Mt. Buller,41063.0
2014,13,Mt. Hotham,28855.0
2014,13,Mt. Stirling,522.0
2014,13,Perisher,50737.0
2014,13,Selwyn,6975.0
2014,13,Thredbo,38470.0
2014,14,Charlotte Pass,1898.0
2014,14,Falls Creek,23864.0
2014,14,Mt. Baw Baw,1904.0
2014,14,Mt. Buller,26222.0
2014,14,Mt. Hotham,18708.0
2014,14,Mt. Stirling,267.0
2014,14,Perisher,33833.0
2014,14,Selwyn,4628.0
2014,14,Thredbo,25734.0
2014,15,Charlotte Pass,995.0
2014,15,Falls Creek,15869.0
2014,15,Mt. Baw Baw,3292.5
2014,15,Mt. Buller,11881.0
2014,15,Mt. Hotham,11117.0
2014,15,Mt. Stirling,66.0
2014,15,Perisher,18381.0
2014,15,Selwyn,2566.0
2014,15,Thredbo,13890.0
2015,1,Charlotte Pass,892.0
2015,1,Falls Creek,4799.0
2015,1,Mt. Baw Baw,3185.0
2015,1,Mt. Buller,15612.0
2015,1,Mt. Hotham,4997.0
2015,1,Mt. Stirling,39.0
2015,1,Perisher,15906.0
2015,1,Selwyn,2238.0
2015,1,Thredbo,12039.0
2015,2,Charlotte Pass,405.0
2015,2,Falls Creek,3293.0
2015,2,Mt. Baw Baw,2058.0
2015,2,Mt. Buller,6592.0
2015,2,Mt. Hotham,1797.0
2015,2,Mt. Stirling,63.0
2015,2,Perisher,7363.0
2015,2,Selwyn,1001.0
2015,2,Thredbo,5540.0
2015,3,Charlotte Pass,501.0
2015,3,Falls Creek,5965.0
2015,3,Mt. Baw Baw,1745.0
2015,3,Mt. Buller,6648.0
2015,3,Mt. Hotham,3605.0
2015,3,Mt. Stirling,51.0
2015,3,Perisher,9360.0
2015,3,Selwyn,1331.0
2015,3,Thredbo,7069.0
2015,4,Charlotte Pass,1303.0
2015,4,Falls Creek,11758.0
